"(-1.2408047127644719, -1.5109516454089662)",-1
"(0.89704613641917308, 0.30079696947874557)",-1
"(0.34647041913709736, 0.77016263844290223)",1
"(-1.2140912884235444, -1.0408294356688361)",-1
"(-1.2747658394717192, -0.51136864521010006)",-1
"(2.0721979542803197, 1.4182690889072176)",1
"(-1.3403910438515361, -1.3297124121178827)",-1
"(0.080862367975398697, 0.55222317896048401)",1
"(-1.2725730290134896, -0.77460956914540946)",-1
"(1.1039971515898666, 1.0994976373738119)",1
"(-0.7868726417432339, -1.2142899928722009)",-1
"(-2.295846769018977, -2.6093947526382451)",-1
"(0.16504052171151368, 0.65799624073013019)",1
"(-1.1012724823688664, -0.7089292520687166)",-1
"(0.25810233235649549, -0.60186313987393103)",-1
"(-1.4816559512470817, -1.8931936146866983)",-1
"(-0.40946180775652191, -0.66074935347387487)",-1
"(0.29884413681417998, -0.36470806518405685)",1
"(-2.1650012194401498, -1.2420587398108749)",1
"(0.55821342017084064, 0.95801739227608695)",1
"(-0.98221670734573496, -0.59478371502736183)",-1
"(-1.1888689927498981, -1.1617574979800782)",-1
"(0.014425925204087475, -0.48510736912622832)",-1
"(0.95729439938635008, 1.2241706560008565)",1
"(-1.2544324457549119, -0.51431831900001157)",1
"(-1.3768666617718002, -1.6405217541291548)",-1
"(-1.3565671490906717, -1.5367219063483146)",-1
"(0.43734498894135421, 0.61056687406796872)",1
"(-0.21481281041348566, 0.33774414250169438)",1
"(1.4814527724429465, 1.4506022722833538)",1
"(-1.2867905526466048, -1.4631046335045721)",-1
"(1.3253034522078733, 0.66502059982288331)",1
"(-0.09389780579271334, -0.65867540689300408)",-1
"(2.2724437626228129, 1.7459161374398722)",1
"(-1.0463538413663016, -0.91299521727554755)",-1
"(-1.1973764480755764, -0.69225335611153238)",-1
"(-1.3467929094974722, -0.57642089540005736)",1
"(-1.1762704603759706, -0.43036580960184012)",1
"(-0.2114059652878218, 0.33912243841015766)",1
"(0.23573184052439197, 0.37707171869089762)",1
"(0.84766042426007382, 1.1516781213326615)",1
"(0.2709473994530312, -0.22292333500585737)",-1
"(-0.8268262262074384, -0.17088529338078717)",1
"(-1.2025950239854957, -1.4408912079031704)",-1
"(2.013620122926318, 1.5203730084606271)",1
"(2.1588567575133117, 2.1523208136956784)",1
"(1.521221480921094, 1.6950592715524073)",1
"(0.81367300554396449, 1.0115354460671606)",1
"(1.3672853574994517, 1.5656548169813944)",1
"(0.85955698832081773, 0.92139138710791324)",1
"(-1.2242849425779416, -1.143759023873834)",-1
"(-0.51533426173787567, 0.055168717519448851)",1
"(0.70926185774421713, 1.0415537649510092)",1
"(-1.6307080580320914, -1.8893403405456426)",-1
"(0.83437355392176693, 1.103391664520206)",1
"(-1.6267097835351949, -1.9784376682058644)",-1
"(2.1941575559355773, 1.6789913449548988)",1
"(2.2910982001933076, 2.3096093975616898)",1
"(-0.19846538800694993, -0.37622125889026592)",-1
"(-1.3256234454996834, -0.85465656048482064)",-1
"(1.5943390301821934, 1.3907458244835409)",1
"(1.3517446226108802, 1.3015241234513697)",1
"(-2.0443206775407767, -2.1752075335548433)",-1
"(0.1095430850106041, -0.08981655521188503)",-1
"(-1.4395915398764543, -0.95263509745341224)",-1
"(-0.37450007464743551, -0.81776686213994765)",-1
"(-0.50541196916017161, -0.68839085644749853)",-1
"(0.80360473581398095, 0.71567775354677243)",1
"(-1.1012138877394257, -1.1210251191209644)",-1
"(-2.0380423862520161, -2.3665116358408871)",-1
"(-1.0998678924570835, -1.0268832180522633)",-1
"(1.7393498617042478, 1.1893547768706252)",1
"(-0.99129290943144643, -1.2559111697976242)",-1
"(-2.4162155538057899, -2.4718360031108162)",-1
"(-0.1950939125981252, 0.34256921092853121)",1
"(-1.692593047345859, -1.7078898604289416)",-1
"(-1.7213820653457352, -0.8769722687158148)",1
"(1.4654950712919232, 1.5092534422062878)",1
"(1.4059816596333956, 0.57525148965974937)",-1
"(-1.2105349705521771, -1.0210791652278781)",-1
"(-0.98618847306389668, -0.56527233853924663)",-1
"(-0.1751009158365166, -0.61192915358768096)",-1
"(2.2955323190242312, 1.5092215001155771)",1
"(-1.0471143141109738, -1.7024480319115174)",-1
"(-1.8279024175184841, -2.1828962712998932)",-1
"(0.55243497888628235, 0.92322321979457822)",1
"(0.66510709097586529, -0.087445327127766537)",-1
"(-1.1696004062299008, -1.1073515798338018)",-1
"(-1.6665579312097434, -1.6594566321205786)",-1
"(0.72710657723962557, -0.07360559496307173)",-1
"(1.2535914920036353, 0.80151030612904495)",-1
"(1.387944828099152, 1.5689441766102163)",1
"(-1.0003942343811811, -0.36846334208852716)",-1
"(0.73150854120639186, 1.0832522925522738)",1
"(-1.2029309741840053, -0.58790254839383982)",-1
"(0.29899115335865434, 0.72040786940251189)",1
"(-1.535147495623423, -1.64113483889997)",-1
"(-1.1060372196150463, -1.0702634581724817)",-1
"(0.84547982921802922, 0.69842119070940378)",1
"(-2.0813673216194246, -2.4529525795017593)",-1
"(-1.2671511297717042, -0.72018101786227406)",-1
"(-0.48210667446253053, 0.1108142793359862)",1
"(-1.0501786001791347, -0.61112724889477332)",-1
"(-0.61671774233573484, -0.95922871994025116)",-1
"(0.19653760277430193, -0.32153720478967629)",-1
"(1.567622890790128, 1.7432958054140615)",1
"(-0.48070324747667109, -1.0082409628979376)",-1
"(0.1298819042697997, 0.32526967675078122)",1
"(0.86124805037812269, 0.66387413136310225)",1
"(-0.56881963714348949, 0.034680476150684481)",1
"(1.9924622899295423, 2.0695636206767012)",1
"(-1.2373775504725715, -1.0997129343502869)",-1
"(0.76462286248085221, 1.184720553640479)",1
"(1.2951800663847011, 1.5147256597066017)",1
"(1.5772254436926203, 0.69414748873060717)",-1
"(-0.98319422961991942, -0.51492730735569514)",-1
"(-1.0677365885666736, -1.0645965296199562)",-1
"(-0.41661565940641482, -0.63834213785898686)",-1
"(1.98736990508862, 2.0547025385010342)",1
"(-1.2730008343620616, -1.0917987905549036)",-1
"(1.2281243120366121, 1.4706115009790279)",1
"(0.76845174292571139, 0.42787506820633414)",1
"(-1.1001613775650663, -0.92067457235868899)",-1
"(-1.5399264462848119, -1.4634014397944641)",-1
"(-0.54558896307891069, -1.2655292074104418)",-1
"(-0.015914828130038972, 0.47144085519644785)",1
"(2.8692285539963391, 2.7461053317701598)",1
"(1.1950309632609342, 0.94041689763003999)",1
"(0.047248939905715159, 0.54369118383319937)",1
"(1.5491520098612113, 1.712981297008747)",1
"(-0.077200255693898379, 0.44475600735818577)",1
"(2.068993305776992, 1.494724309585012)",1
"(0.22299182765395548, 0.19660549974084918)",1
"(-0.75428526661215733, -1.0265138599057411)",-1
"(-0.80574990900413801, -1.005886501816315)",-1
"(-1.3024875961782336, -0.80074614051562432)",-1
"(-1.3379420996343967, -1.4126531062649921)",-1
"(0.44560262788068294, 0.021166474205615016)",-1
"(-1.304756176544775, -1.2126096965234248)",-1
"(2.1232106924813712, 1.0236304424123377)",-1
"(-1.2087603832569633, -0.94145344893205485)",-1
"(0.59722108261627604, 0.94848673660963978)",1
"(-2.7270994059602587, -2.6053631624095357)",-1
"(1.5621105299941738, 1.5859407252638438)",1
"(0.033609993351306308, 0.085355314191771781)",1
"(0.47500042110203139, 0.52006534048899888)",1
"(0.75116914789491041, 0.64963761845369494)",1
"(-0.48053410817065212, -0.9503441636651272)",-1
"(-1.4187382473343435, -1.1703604898591526)",-1
"(1.8562603609518382, 1.9442334230021179)",1
"(-1.4125104941213866, -1.5735325246023919)",-1
"(-1.2275748580989527, -1.1655234186048011)",-1
"(-1.0522441923392114, -0.14667497756351855)",-1
"(0.47320921900716401, 0.85821995847195121)",1
"(2.1888813348355227, 1.9233278220228995)",1
"(0.39690049606440564, 0.8088926884228097)",1
"(-1.190020308258084, -0.88198302845759069)",-1
"(-0.25313296691938403, 0.28104701098328833)",1
"(0.52976659390323977, -0.07294384953238775)",-1
"(1.0940414909990315, 1.3398829652323574)",1
"(1.1314772543097948, 0.73782264881836224)",1
"(-1.3118370254478111, -0.63305470546216402)",-1
"(1.646320310146338, 1.7894653953960535)",1
"(2.9738946900040615, 2.8419037719630436)",1
"(-2.4734147821209849, -2.339168560801324)",-1
"(-1.4526263049388382, -1.1593315250332343)",-1
"(1.2057266240023843, 1.2276444044546575)",1
"(0.46022567499616174, 0.83789844562293569)",1
"(0.32211122040804824, 0.24709776088103663)",1
"(1.1338151030266619, 1.3844565968657425)",1
"(0.42972226177192363, 0.44961983390383453)",1
"(-1.2275034430249643, -1.0100321371876981)",-1
"(-1.3204685991277698, -1.2628857058564253)",-1
"(1.9295569554396517, 2.0314820099203437)",1
"(-1.304255147264231, -0.59113902362469295)",-1
"(-1.0652510713632921, -0.7205606067974244)",-1
"(-0.46649332364421464, -0.8182130698094906)",-1
"(-1.8782278024185866, -1.0173411645475188)",1
"(-0.74902321033257702, -0.09893569041413719)",1
"(-0.12041613205045237, 0.39163457038642091)",1
"(-0.7989711263336563, -1.4594980813994589)",-1
"(0.98730595800885412, 1.2604421267452277)",1
"(0.35561662570759783, 0.41276333549683342)",1
"(1.5115218352505686, 1.410864747627778)",1
"(-1.2061292976606051, -0.79816286311074502)",-1
"(0.38994808289598332, 0.4656938836887442)",1
"(-1.19183297813601, -0.84931144260596236)",-1
"(0.90620982221133151, 1.4005078351343794)",1
"(-0.0083074211118454588, 0.35359810546912518)",1
"(1.4851341406620335, 1.65364914231994)",1
"(0.28738131094930919, -0.12821852995268568)",1
"(-1.2181190219644362, -0.82704178102734616)",-1
"(0.86873986227833189, 1.166385655346776)",1
"(-1.2652878027521548, -0.60947460029879075)",-1
"(1.1285026781463154, 0.79302031220685743)",1
"(-0.65501711190937184, -1.1773529179912856)",-1
"(0.72716825231757509, 0.11714457563056946)",1
"(-0.31559764326134188, -1.0007405336221757)",-1
"(-1.324305064915861, -1.0997096630056793)",-1
"(-1.228396771895319, -1.2372197438067689)",-1
"(2.4744112471588173, 2.4446550782514707)",1
"(-1.1793895539927541, -1.0251582374903383)",-1
"(0.84676014351188189, 0.53782565902296287)",1
"(1.1211331302835683, 1.3738015475460037)",1
"(2.2889619177632272, 1.7136166955317456)",1
"(-1.3793912200099028, -1.7692064971786803)",-1
"(-1.7539373540751093, -1.8792243675271196)",-1
"(0.2245613087756298, 0.28484278669852481)",1
"(0.80566637859938217, 0.85638303419971817)",1
"(-1.358023648498379, -1.3235370208429638)",-1
"(-1.3041707275106125, -1.1953092123590341)",-1
"(-1.1660993619372773, -1.3804927421028572)",-1
"(1.2579295851928018, 0.83074480592090516)",1
"(-0.20948316200696965, 0.32444704475282438)",1
"(-0.27602018896002045, 0.26354573294213934)",1
"(-1.1319104234290693, -1.3394526332604557)",-1
"(-2.2270800978498073, -2.1658790512623107)",-1
"(-1.0963496940810078, -0.38963573040917354)",-1
"(1.482119042973586, 1.6522526168222189)",1
"(-1.8780959970553386, -2.2353298181290282)",-1
"(-1.0032442380851012, -1.0071017284925203)",-1
"(-0.46910411193325696, -1.0797590411355453)",-1
"(1.3954293684962193, 1.355935464508454)",1
"(0.95588413447394838, 0.045266917538018925)",-1
"(-0.62182153919562, -0.88017552885115324)",-1
"(0.16107104841155473, -0.71879958860411142)",-1
"(0.54241704659581091, 0.91758366576098427)",1
"(-1.2412395024499825, -1.254749723487127)",-1
"(1.4666753863810751, 1.6560351260763655)",1
"(-0.25005268915866657, 0.076795972371563215)",1
